,a_score,a_tid,away_percentage,h_score,h_tid,home_percentage,round,season,win_tid,home_last_season_percentage,away_last_season_percentage,home_team_win
4,58,116,0.958389261745,101,115,1.02863961814,R10,2005,115,0.0,0.0,1
5,57,103,0.78612716763,71,101,1.1401459854,R10,2005,101,0.0,0.0,1
6,110,118,0.997856377278,137,105,0.855367231638,R10,2005,105,0.0,0.0,1
7,62,113,0.855407047388,179,117,1.32803468208,R10,2005,117,0.0,0.0,1
0,96,107,1.2901734104,121,104,0.836557059961,R11,2005,104,0.0,0.0,1
1,105,117,1.45623342175,103,114,1.06296691569,R11,2005,117,0.0,0.0,0
2,116,116,0.912529550827,91,103,0.787195671776,R11,2005,116,0.0,0.0,0
3,106,102,0.905775075988,67,106,1.04756637168,R11,2005,102,0.0,0.0,0
4,63,105,0.898492462312,151,101,1.14824797844,R11,2005,101,0.0,0.0,1
5,116,111,1.16346153846,80,112,0.920289855072,R11,2005,111,0.0,0.0,0
6,104,113,0.764471057884,81,115,1.07477678571,R11,2005,113,0.0,0.0,0
7,89,110,0.987055016181,111,118,0.972897196262,R11,2005,118,0.0,0.0,1
0,82,105,0.835078534031,106,117,1.40373395566,R12,2005,117,0.0,0.0,1
1,100,115,1.044,54,110,0.967244701349,R12,2005,115,0.0,0.0,0
2,103,118,0.993960310613,118,113,0.803324099723,R12,2005,113,0.0,0.0,1
3,140,102,0.948766603416,82,103,0.78693877551,R12,2005,102,0.0,0.0,0
4,71,106,1.00396039604,109,116,0.947705442903,R12,2005,116,0.0,0.0,1
5,57,101,1.24596273292,61,107,1.22920892495,R12,2005,107,0.0,0.0,1
6,80,114,1.0547024952,109,112,0.895563770795,R12,2005,112,0.0,0.0,1
7,72,104,0.872566371681,117,111,1.18602362205,R12,2005,111,0.0,0.0,1
0,71,110,0.929701230228,188,113,0.83305227656,R13,2005,113,0.0,0.0,1
1,105,117,1.39403620873,90,111,1.21507352941,R13,2005,117,0.0,0.0,0
2,70,103,0.7663003663,116,118,0.982772122161,R13,2005,118,0.0,0.0,1
3,132,101,1.22401847575,62,114,1.02432667246,R13,2005,101,0.0,0.0,0
4,47,107,1.2205177373,116,102,1.00352112676,R13,2005,102,0.0,0.0,1
5,66,112,0.927710843373,44,106,0.969615728329,R13,2005,112,0.0,0.0,0
6,104,115,1.08538899431,119,105,0.829872204473,R13,2005,105,0.0,0.0,1
7,76,104,0.848436246993,77,116,0.989087301587,R13,2005,116,0.0,0.0,1
0,71,113,0.935560859189,102,104,0.856495468278,R14,2005,104,0.0,0.0,1
1,62,103,0.753544902093,139,117,1.37414965986,R14,2005,117,0.0,0.0,1
2,84,116,0.990774907749,85,114,0.967264224474,R14,2005,114,0.0,0.0,1
3,128,112,0.948590381426,86,105,0.853982300885,R14,2005,112,0.0,0.0,0
4,166,102,1.06170752325,92,111,1.18357082984,R14,2005,102,0.0,0.0,0
5,88,106,0.952742616034,94,101,1.28448275862,R14,2005,101,0.0,0.0,1
6,116,115,1.06393861893,98,118,1.01781737194,R14,2005,115,0.0,0.0,0
7,58,110,0.851432880845,113,107,1.13891285591,R14,2005,107,0.0,0.0,1
0,101,117,1.42346471127,97,112,0.984520123839,R15,2005,117,0.0,0.0,0
1,75,111,1.10669610007,137,113,0.917586460633,R15,2005,113,0.0,0.0,1
2,66,105,0.838274932615,92,114,0.970007315289,R15,2005,114,0.0,0.0,1
3,55,104,0.886021505376,133,102,1.11529411765,R15,2005,102,0.0,0.0,1
4,51,107,1.17748562038,105,116,0.990590248075,R15,2005,116,0.0,0.0,1
5,78,101,1.2657480315,68,110,0.824878387769,R15,2005,101,0.0,0.0,0
6,73,103,0.727160493827,153,115,1.07317073171,R15,2005,115,0.0,0.0,1
7,92,118,1.004101162,145,106,0.951524628616,R15,2005,106,0.0,0.0,1
0,131,105,0.831218274112,105,104,0.844895287958,R16,2005,105,0.0,0.0,0
