,a_score,a_tid,away_percentage,h_score,h_tid,home_percentage,margin,round,season,win_tid,home_last_season_percentage,away_last_season_percentage,home_team_win
72,88,110,0.932858596134,118,117,1.12662337662,30,R10,2000,117,0.0,0.0,1
73,54,104,1.02848423194,102,114,0.980789754536,48,R10,2000,114,0.0,0.0,1
74,78,107,1.0957562568,78,113,0.713274336283,0,R10,2000,100,0.0,0.0,0
75,109,103,1.22048997773,82,115,0.746174617462,27,R10,2000,103,0.0,0.0,0
76,60,106,0.8092042186,148,112,0.970108695652,88,R10,2000,112,0.0,0.0,1
77,84,101,0.940881763527,132,105,1.55570117955,48,R10,2000,105,0.0,0.0,1
78,79,116,1.01180257511,137,118,0.972918756269,58,R10,2000,118,0.0,0.0,1
79,84,102,0.963249516441,102,111,1.20737327189,18,R10,2000,111,0.0,0.0,1
80,55,113,0.73178807947,117,115,0.746721311475,62,R11,2000,115,0.0,0.0,1
81,99,112,1.04725085911,129,103,1.22959183673,30,R11,2000,103,0.0,0.0,1
82,80,114,1.03027245207,77,110,0.91280653951,3,R11,2000,114,0.0,0.0,0
83,174,118,1.02881040892,81,106,0.759026028547,93,R11,2000,118,0.0,0.0,0
84,145,105,1.5572609209,87,107,1.08826479438,58,R11,2000,105,0.0,0.0,0
85,70,111,1.20798319328,105,101,0.905309734513,35,R11,2000,101,0.0,0.0,1
86,128,117,1.145256917,92,104,0.981566820276,36,R11,2000,117,0.0,0.0,0
87,110,102,0.950704225352,107,116,0.956033676333,3,R11,2000,102,0.0,0.0,0
88,83,115,0.806274509804,169,105,1.56745182013,86,R12,2000,105,0.0,0.0,1
89,71,107,1.02626970228,67,104,0.953833470734,4,R12,2000,107,0.0,0.0,0
90,48,116,0.957591178965,98,101,0.94,50,R12,2000,101,0.0,0.0,1
91,62,106,0.721611721612,121,110,0.91617273497,59,R12,2000,110,0.0,0.0,1
92,111,114,1.0308988764,99,102,0.957361222848,12,R12,2000,114,0.0,0.0,0
93,128,103,1.23632993513,78,117,1.16576086957,50,R12,2000,103,0.0,0.0,0
94,83,111,1.15421002838,108,118,1.10717372515,25,R12,2000,118,0.0,0.0,1
95,59,113,0.708679245283,76,112,1.01933488012,17,R12,2000,112,0.0,0.0,1
96,121,101,0.982371794872,112,114,1.03856041131,9,R13,2000,101,0.0,0.0,0
97,159,103,1.2636127917,61,111,1.11845493562,98,R13,2000,103,0.0,0.0,0
98,75,104,0.953271028037,89,113,0.712348322627,14,R13,2000,113,0.0,0.0,1
99,89,117,1.10795454545,173,102,0.951994091581,84,R13,2000,102,0.0,0.0,1
100,56,115,0.769390581717,100,106,0.704576043069,44,R13,2000,106,0.0,0.0,1
101,70,112,1.03106508876,119,105,1.60570304818,49,R13,2000,105,0.0,0.0,1
102,119,118,1.12016129032,126,107,1.02812241522,7,R13,2000,107,0.0,0.0,1
103,78,110,0.967819790829,109,116,0.92169146437,31,R13,2000,116,0.0,0.0,1
104,112,102,1.01316701317,116,112,0.995241332427,4,R14,2000,112,0.0,0.0,1
105,78,104,0.946103423161,143,111,1.03021148036,65,R14,2000,111,0.0,0.0,1
106,107,113,0.736449864499,71,117,1.03487544484,36,R14,2000,113,0.0,0.0,0
107,89,105,1.61177552898,76,116,0.949077490775,13,R14,2000,105,0.0,0.0,0
108,171,110,0.947485207101,86,115,0.755829015544,85,R14,2000,110,0.0,0.0,0
109,97,107,1.03087349398,107,103,1.33087027915,10,R14,2000,103,0.0,0.0,1
110,72,106,0.743839169909,145,101,0.990441176471,73,R14,2000,101,0.0,0.0,1
111,52,118,1.10395314788,87,114,1.02795031056,35,R14,2000,114,0.0,0.0,1
112,82,115,0.730612244898,115,104,0.908311345646,33,R15,2000,104,0.0,0.0,1
113,141,111,1.07489300999,72,110,1.00973574409,69,R15,2000,111,0.0,0.0,0
114,96,101,1.04189944134,120,103,1.31406844106,24,R15,2000,103,0.0,0.0,1
115,128,102,1.00962155228,59,107,1.02160278746,69,R15,2000,102,0.0,0.0,0
116,76,117,1.0085978836,108,105,1.58297506449,32,R15,2000,105,0.0,0.0,1
117,96,116,0.943213296399,123,106,0.722584469472,27,R15,2000,106,0.0,0.0,1
118,102,112,0.998104864182,106,118,1.07364074329,4,R15,2000,118,0.0,0.0,1
119,75,114,1.05298507463,103,113,0.771816418875,28,R15,2000,113,0.0,0.0,1
120,125,110,0.965167827739,68,104,0.933667083855,57,R16,2000,110,0.0,0.0,0
121,84,106,0.752664049355,90,107,0.97568777991,6,R16,2000,107,0.0,0.0,1
122,100,114,1.0297990298,110,111,1.11804613297,10,R16,2000,111,0.0,0.0,1
123,65,115,0.729508196721,93,116,0.930440331844,28,R16,2000,116,0.0,0.0,1
124,89,105,1.57304277643,58,113,0.799630086313,31,R16,2000,105,0.0,0.0,0
125,113,112,0.99585553582,52,117,0.988271604938,61,R16,2000,112,0.0,0.0,0
126,74,101,1.02319587629,135,118,1.07138263666,61,R16,2000,118,0.0,0.0,1
127,156,103,1.30970942594,112,102,1.05191594561,44,R16,2000,103,0.0,0.0,0
128,85,107,0.980570734669,109,115,0.728029121165,24,R17,2000,115,0.0,0.0,1
129,167,105,1.57131842714,66,114,1.02124919511,101,R17,2000,105,0.0,0.0,0
130,64,113,0.791934541204,82,106,0.761345435131,18,R17,2000,106,0.0,0.0,1
131,102,111,1.11689961881,103,112,1.03101665709,1,R17,2000,112,0.0,0.0,1
132,120,103,1.31582403152,63,110,1.00121432908,57,R17,2000,103,0.0,0.0,0
133,80,117,0.953837276399,151,116,0.950367647059,71,R17,2000,116,0.0,0.0,1
134,81,118,1.10558624923,138,102,1.02254791432,57,R17,2000,102,0.0,0.0,1
135,109,104,0.905397562391,147,101,0.985180794309,38,R17,2000,101,0.0,0.0,1
136,72,106,0.778523489933,159,105,1.61775495231,87,R18,2000,105,0.0,0.0,1
137,102,101,1.00723830735,109,107,0.968109339408,7,R18,2000,107,0.0,0.0,1
138,99,116,0.994158878505,125,111,1.1091234347,26,R18,2000,111,0.0,0.0,1
139,29,115,0.751494023904,115,117,0.919851380042,86,R18,2000,117,0.0,0.0,1
140,56,114,0.960465116279,134,112,1.02984264786,78,R18,2000,112,0.0,0.0,1
141,69,104,0.892513368984,180,103,1.33921815889,111,R18,2000,103,0.0,0.0,1
142,106,118,1.06508205999,149,113,0.791411042945,43,R18,2000,113,0.0,0.0,1
143,124,110,0.968873797397,106,102,1.05229110512,18,R18,2000,110,0.0,0.0,0
144,124,112,1.07003686151,85,107,0.973627556512,39,R19,2000,112,0.0,0.0,0
145,90,117,0.966021955044,107,101,1.0031496063,17,R19,2000,101,0.0,0.0,1
146,75,118,1.0375782881,72,103,1.39214501511,3,R19,2000,118,0.0,0.0,0
147,82,110,0.980245595302,165,105,1.64738675958,83,R19,2000,105,0.0,0.0,1
148,116,111,1.11768018018,98,115,0.724446537918,18,R19,2000,111,0.0,0.0,0
149,104,116,0.980402830702,84,104,0.847804878049,20,R19,2000,116,0.0,0.0,0
150,53,113,0.82569773565,120,102,1.03991915109,67,R19,2000,102,0.0,0.0,1
151,106,114,0.921251348436,79,106,0.753816793893,27,R19,2000,114,0.0,0.0,0
152,109,105,1.66710613052,83,103,1.37341040462,26,R20,2000,105,0.0,0.0,0
153,80,113,0.802872709262,101,110,0.941118743867,21,R20,2000,110,0.0,0.0,1
154,108,107,0.955600403633,78,117,0.959405940594,30,R20,2000,107,0.0,0.0,0
155,91,112,1.08669354839,145,116,0.991671004685,54,R20,2000,116,0.0,0.0,1
156,100,118,1.03772635815,91,104,0.845868152275,9,R20,2000,118,0.0,0.0,0
157,115,102,1.0718503937,78,101,1.01152882206,37,R20,2000,102,0.0,0.0,0
158,77,106,0.75340599455,160,111,1.12113127001,83,R20,2000,111,0.0,0.0,1
159,79,115,0.730683340777,119,114,0.938437661666,40,R20,2000,114,0.0,0.0,1
160,92,118,1.0404040404,81,105,1.64875,11,R21,2000,118,0.0,0.0,0
161,67,101,0.99336492891,98,110,0.953257790368,31,R21,2000,110,0.0,0.0,1
162,84,116,1.01888667992,83,114,0.960735586481,1,R21,2000,116,0.0,0.0,0
163,63,115,0.727311280746,153,102,1.08672985782,90,R21,2000,102,0.0,0.0,1
164,100,117,0.947368421053,101,106,0.734970364098,1,R21,2000,106,0.0,0.0,1
165,83,103,1.33713974986,88,113,0.802358490566,5,R21,2000,113,0.0,0.0,1
