mid,season,round,tid1,tid2,tid1_loc,tid2_loc,start_dt,venue,att,margin,win_score,win_tid,win_loc,lose_score,lose_loc,lose_tid,h_tid,h_score,h_q1g,h_q2g,h_q3g,h_q4g,h_etg,h_q1b,h_q2b,h_q3b,h_q4b,h_etb,a_tid,a_score,a_q1g,a_q2g,a_q3g,a_q4g,a_etg,a_q1b,a_q2b,a_q3b,a_q4b,a_etb
2003_EF_101_117,2003,EF,101,117,h,a,2003-09-06 14:30,Football Park,38641,56,113,101,h,57,a,117,101,113,3,7,11,16,0,4,6,12,17,0,117,57,1,3,5,8,0,1,4,7,9,0
2003_QF_102_104,2003,QF,102,104,a,h,2003-09-06 19:30,M.C.G.,66092,15,66,104,h,51,a,102,104,66,2,5,6,9,0,2,5,8,12,0,102,51,3,6,7,7,0,2,5,5,9,0
2003_QF_113_116,2003,QF,113,116,a,h,2003-09-07 14:30,Football Park,33968,12,100,116,h,88,a,113,116,100,4,11,14,15,0,4,5,8,10,0,113,88,3,4,10,13,0,2,7,8,10,0
2003_SF_101_102,2003,SF,101,102,a,h,2003-09-12 19:30,Gabba,32432,42,124,102,h,82,a,101,102,124,3,6,11,18,0,3,9,12,16,0,101,82,3,4,10,12,0,2,4,7,10,0
2003_SF_105_113,2003,SF,105,113,a,h,2003-09-13 19:30,Football Park,36557,39,83,113,h,44,a,105,113,83,5,7,10,12,0,2,4,7,11,0,105,44,3,4,5,6,0,1,6,7,8,0
2003_PF_104_113,2003,PF,104,113,h,a,2003-09-20 14:30,M.C.G.,77405,44,112,104,h,68,a,113,104,112,6,7,11,17,0,3,5,6,10,0,113,68,3,5,5,9,0,1,6,11,14,0
2003_PF_102_116,2003,PF,102,116,h,a,2003-09-20 19:30,Stadium Australia,71019,44,100,102,h,56,a,116,102,100,2,6,8,14,0,7,7,10,16,0,116,56,2,4,8,8,0,2,4,7,8,0
2003_GF_102_104,2003,GF,102,104,h,a,2003-09-27 14:30,M.C.G.,79451,50,134,102,h,84,a,104,102,134,5,11,14,20,0,5,7,12,14,0,104,84,3,4,9,12,0,3,7,7,12,0
2004_QF_102_115,2004,QF,102,115,h,a,2004-09-03 19:30,Gabba,33582,80,149,102,h,69,a,115,102,149,6,11,17,23,0,3,8,9,11,0,115,69,3,4,6,10,0,2,4,7,9,0
2004_EF_105_111,2004,EF,105,111,h,a,2004-09-04 14:30,M.C.G.,60903,5,104,105,h,99,a,111,105,104,5,11,11,15,0,2,6,10,14,0,111,99,5,6,13,15,0,2,5,6,9,0
2004_EF_116_117,2004,EF,116,117,h,a,2004-09-04 19:30,Stadium Australia,40282,41,75,116,h,34,a,117,116,75,2,7,9,11,0,2,5,8,9,0,117,34,2,2,4,4,0,5,5,8,10,0
