mid,season,round,tid1,tid2,tid1_loc,tid2_loc,start_dt,venue,att,margin,win_score,win_tid,win_loc,lose_score,lose_loc,lose_tid,h_tid,h_score,h_q1g,h_q2g,h_q3g,h_q4g,h_etg,h_q1b,h_q2b,h_q3b,h_q4b,h_etb,a_tid,a_score,a_q1g,a_q2g,a_q3g,a_q4g,a_etg,a_q1b,a_q2b,a_q3b,a_q4b,a_etb
2013_QF_106_107,2013,QF,106,107,h,a,2013-09-07 14:20,Kardinia Park,32458,15,87,106,h,72,a,107,106,87,2,7,10,12,0,5,9,12,15,0,107,72,4,6,9,9,0,6,11,13,18,0
2013_EF_104_113,2013,EF,104,113,a,h,2013-09-07 19:45,M.C.G.,51722,24,87,113,h,63,a,104,113,87,2,6,8,12,0,4,6,9,15,0,104,63,1,4,7,9,0,4,6,7,9,0
2013_EF_103_114,2013,EF,103,114,h,a,2013-09-08 15:20,M.C.G.,94690,20,116,103,h,96,a,114,103,116,2,6,12,18,0,3,5,6,8,0,114,96,3,10,12,14,0,5,7,10,12,0
2013_SF_107_113,2013,SF,107,113,h,a,2013-09-13 19:50,M.C.G.,52744,16,96,107,h,80,a,113,107,96,2,3,8,13,0,2,6,12,18,0,113,80,3,7,8,12,0,2,5,5,8,0
2013_SF_103_116,2013,SF,103,116,a,h,2013-09-14 19:45,Stadium Australia,37980,24,86,116,h,62,a,103,116,86,3,8,13,13,0,3,6,8,8,0,103,62,2,4,4,8,0,3,8,8,14,0
2013_PF_107_110,2013,PF,107,110,a,h,2013-09-20 19:50,M.C.G.,85569,5,102,110,h,97,a,107,110,102,3,7,10,14,0,5,8,10,18,0,107,97,4,7,14,15,0,0,4,6,7,0
2013_PF_106_116,2013,PF,106,116,h,a,2013-09-21 17:45,Subiaco,43249,25,99,106,h,74,a,116,106,99,2,7,11,14,0,9,11,12,15,0,116,74,2,2,5,11,0,1,2,5,8,0
2013_GF_106_110,2013,GF,106,110,a,h,2013-09-28 14:30,M.C.G.,100007,15,77,110,h,62,a,106,110,77,2,5,8,11,0,3,5,8,11,0,106,62,0,1,6,8,0,3,6,10,14,0
2014_QF_107_110,2014,QF,107,110,a,h,2014-09-05 19:50,M.C.G.,74757,36,104,110,h,68,a,107,110,104,3,6,10,15,0,4,5,8,14,0,107,68,2,6,8,10,0,1,5,6,8,0
2014_QF_106_116,2014,QF,106,116,a,h,2014-09-06 14:45,Stadium Australia,35998,24,93,116,h,69,a,106,116,93,3,5,9,13,0,4,8,10,15,0,106,69,3,5,6,10,0,1,3,6,9,0
2014_EF_105_112,2014,EF,105,112,a,h,2014-09-06 19:15,M.C.G.,78561,12,93,112,h,81,a,105,112,93,2,2,9,14,0,3,4,5,9,0,105,81,2,6,10,12,0,4,7,8,9,0
2014_EF_113_114,2014,EF,113,114,h,a,2014-09-07 14:50,Adelaide Oval,49886,57,132,113,h,75,a,114,113,132,8,14,19,20,0,1,5,8,12,0,114,75,1,3,6,11,0,1,2,5,9,0
2014_SF_107_112,2014,SF,107,112,a,h,2014-09-12 19:50,M.C.G.,65964,6,98,112,h,92,a,107,112,98,7,9,12,14,0,1,6,9,14,0,107,92,5,5,8,13,0,1,6,9,14,0
2014_SF_106_113,2014,SF,106,113,a,h,2014-09-13 17:45,Subiaco,42338,22,105,113,h,83,a,106,113,105,2,3,9,15,0,2,5,9,15,0,106,83,3,6,8,11,0,5,11,13,17,0
2014_PF_112_116,2014,PF,112,116,a,h,2014-09-19 19:50,Stadium Australia,48029,71,136,116,h,65,a,112,116,136,4,9,13,19,0,5,10,17,22,0,112,65,1,4,6,9,0,2,4,7,11,0
2014_PF_110_113,2014,PF,110,113,h,a,2014-09-20 16:45,M.C.G.,74856,3,97,110,h,94,a,113,110,97,2,8,13,15,0,3,4,6,7,0,113,94,3,5,8,13,0,9,11,13,16,0
2014_GF_110_116,2014,GF,110,116,h,a,2014-09-27 14:30,M.C.G.,99460,63,137,110,h,74,a,116,110,137,5,11,16,21,0,5,9,11,11,0,116,74,2,5,8,11,0,3,3,5,8,0
